row,change,field,status,value,source_url,quote,source_type,read_method
L03,upgraded,special,verified,"Printed 'Lunch Specials 特价午餐' section - 12 chicken, beef and shrimp lunch plates",https://order.toasttab.com/online/home-eat-cupertino,## Lunch Specials 特价午餐 ... Crispy Chicken Lunch Special 椒香鸡特价午餐 ... $12.99 ... Shrimp Broccoli Lunch Special 芥蓝虾特价午餐 ... $14.99,official_linked_ordering,search_extraction_of_official_page
L03,upgraded,price,verified,$12.99 (chicken/vegetable) to $14.99 (shrimp) per plate; complimentary drink included,https://order.toasttab.com/online/home-eat-cupertino,免费堂食盲盒饮料，不可调换其它饮品 ... $12.99 / $13.99 / $14.99,official_linked_ordering,search_extraction_of_official_page
L03,upgraded,schedule,unknown,"No lunch window or day list is published on the ordering page (checked 2026-09-17); business hours are 11:15 AM - 11:15 PM daily, so the special cannot be bounded from the page",,,,
L03,upgraded,location,verified,"20588 Stevens Creek Blvd, Cupertino, CA 95014",https://toast.app/r/home-eat-cupertino/order,"Pickup from 20588 Stevens Creek Blvd, Cupertino, CA",official_linked_ordering,direct_fetch
L03,upgraded,hours,verified,Every day 11:15 AM - 11:15 PM,https://toast.app/r/home-eat-cupertino/order,Sunday | 11:15 am - 11:15 pm ... Monday | 11:15 am - 11:15 pm ... Saturday | 11:15 am - 11:15 pm,official_linked_ordering,direct_fetch
L104,upgraded,special,verified,"Printed 'Lunch Specials (Includes side and drink)' section - 8 combos from the kitchen's burger, chicken and taco vendors",https://order.toasttab.com/online/local-kitchens-cupertino,### Lunch Specials (Includes side and drink) - SOB Burger Lunch Special Comes with a drink and your choice of Fries or Potato Chips ... $13.50,official_linked_ordering,search_extraction_of_official_page
L104,upgraded,price,verified,$13.00 (Fried Chicken Sandwich / 2 Taco) to $17.50 (Overachieving SOB Burger); side and drink included,https://order.toasttab.com/online/local-kitchens-cupertino,Overachieving SOB Burger Lunch Special ... $17.50 / Fried Chicken Sandwich Lunch Special ... $13.00 / 2 Taco Lunch Special ... $13.00,official_linked_ordering,search_extraction_of_official_page
L104,upgraded,schedule,unknown,The ordering page names the section 'Lunch Specials' but prints no day or clock window for it (checked 2026-09-17),,,,
L104,upgraded,location,verified,"21666 Stevens Creek Blvd, Cupertino, CA",https://localkitchens.toast.site/order/local-kitchens-cupertino,"Pickup from 21666 Stevens Creek Boulevard, Cupertino, CA",official_linked_ordering,direct_fetch
L104,upgraded,hours,unknown,Business hours are not printed on the ordering page that carries the lunch specials (checked 2026-09-17),,,,
L12,upgraded,special,unknown,No lunch special is published: neither curryhyuga.com nor the restaurant's own Toast ordering page names one (checked 2026-09-17),,,,
L12,upgraded,price,unknown,No lunch-special price is published by the restaurant; the earlier $14.99 claim lived only in duplicate row L681 and was removed,,,,
L12,upgraded,schedule,verified,Lunch service Mon and Wed-Thu 11:30 AM - 2:30 PM; Friday-Sunday continuous 11:30 AM - 9:00 PM; Tuesday closed,https://curryhyuga.com/,"MON, WED ~ THU LUNCH 11:30am - 2:30pm DINNER 5:00pm - 9:00pm FRI ~ SUN OPEN ALL DAY 11:30am - 9:00pm TUE - closed all day",official,direct_fetch
L12,upgraded,location,verified,"19650 Stevens Creek Blvd, Cupertino, CA 95014",https://toast.app/r/curry-hyuga-cupertino/order,"Pickup from 19650 Stevens Creek Boulevard, Cupertino, CA",official_linked_ordering,direct_fetch
L12,upgraded,hours,conflicting,"Own site: Mon/Wed-Thu 11:30 AM - 2:30 PM + 5:00 - 9:00 PM, Fri-Sun 11:30 AM - 9:00 PM, Tue closed. Own Toast page: Sun 11:15 AM - 8:45 PM, Mon 11:15 AM - 2:15 PM, Wed-Thu 11:15 AM - 2:15 PM + 4:45 - 8:45 PM, Fri-Sat 11:15 AM - 8:45 PM, Tue closed",https://curryhyuga.com/,"MON, WED ~ THU LUNCH 11:30am - 2:30pm ... (Toast page) Monday | 11:15 am - 2:15 pm",official,direct_fetch
new:Calcutta Chaat & Bakery,added,special,verified,Daily Lunch Special / Brunch Special Combo - Bengali combo plate and curry lunch specials,https://calcuttachaat.com/menu,"Peas Kochuri, Aloor Dom, Cholar Dal, Gulab Jamun - A refined Bengali classic featuring crisp peas kochuri, slow-cooked aloor dum, aromatic cholar dal, and a soft, syrup-soaked gulab jamun. $12.99",official,direct_fetch
new:Calcutta Chaat & Bakery,added,price,verified,$12.99 vegetarian lunch combo (restaurant's own menu); a sibling restaurant page prints $13.99-$17.99 for curry-version lunch specials,https://calcuttachaat.com/menu,$12.99,official,direct_fetch
new:Calcutta Chaat & Bakery,added,schedule,unknown,Neither restaurant page prints the days or the clock window of the lunch special (checked 2026-09-17),,,,
new:Calcutta Chaat & Bakery,added,location,verified,"81 S Main Street, Milpitas, CA 95035 (Fremont outlet 4906 Paseo Padre Pkwy)",https://calcuttachaat.com/menu,"Select Outlet - Fremont 4906 Paseo Padre Pkwy, CA 94555 / Milpitas 81 S Main Street, CA 95035",official,direct_fetch
new:Calcutta Chaat & Bakery,added,hours,unknown,"Opening hours are not published on the pages checked (homepage, menu, outlet selector) on 2026-09-17",,,,
